[INFO-1]
[FPB-2]
PC01;90:1b:0e:46:48:5f;172.30.136.253;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC11;40:8d:5c:27:1b:76;172.30.136.194;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC12;40:8d:5c:26:de:56;172.30.136.195;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC13;40:8d:5c:27:da:9e;172.30.136.196;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC14;40:8d:5c:90:74:da;172.30.136.197;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC15;40:8d:5c:27:fa:02;172.30.136.198;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC21;40:8d:5c:90:fb:54;172.30.136.199;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC22;40:8d:5c:27:f8:71;172.30.136.200;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC23;40:8d:5c:25:cb:c7;172.30.136.201;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC24;40:8d:5c:26:eb:78;172.30.136.202;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC25;40:8d:5c:90:7c:e4;172.30.136.203;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC31;40:8d:5c:90:75:c9;172.30.136.204;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC32;40:8d:5c:27:1b:9c;172.30.136.205;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC33;40:8d:5c:27:5f:cc;172.30.136.206;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC34;fc:aa:14:04:60:31;172.30.136.207;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;
PC35;40:8d:5c:90:79:51;172.30.136.208;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.253;dummy;

[2SMR-A]
PC01;e4:54:e8:87:76:c2;172.30.136.254;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC11;e4:54:e8:87:81:26;172.30.136.209;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC12;e4:54:e8:87:8c:7c;172.30.136.210;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC13;b0:6e:bf:cf:4c:7c;172.30.136.211;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC14;e4:54:e8:87:8b:03;172.30.136.212;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC15;e4:54:e8:87:8e:39;172.30.136.213;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC16;e4:54:e8:87:79:b3;172.30.136.214;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC21;e4:54:e8:82:a8:9e;172.30.136.215;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
